IV32;74.637361;42.63986006;-0.76;2.79;0.07;0.07;-0.001;2.5
IATA;74.84064463;42.65308639;-0.8;2.95;0.06;0.07;-0.001;2.5
IV14;74.58380195;42.65938521;-1.8;1.88;0.17;0.18;-0.005;2.5
IAT3;74.85023164;42.66034368;-0.88;3.47;0.06;0.06;-0.001;2.5
IV16;74.9001068;42.66564236;-0.83;2.92;0.05;0.05;-0.003;2.5
IV36;74.64572399;42.66971613;-1.05;2.63;0.06;0.06;-0.005;2.5
POL2;74.69427037;42.67977075;-0.85;2.79;0.04;0.04;0.003;2.5
POLY;74.69075689;42.68021982;-1.16;2.82;0.05;0.05;-0.001;2.5
IP02;74.68644371;42.68283322;-1.83;2.6;0.13;0.14;-0.003;2.5
IK03;74.7611976;42.68301777;-0.77;2.95;0.13;0.15;0.006;2.5
POL3;74.68630963;42.68503986;-0.94;2.56;0.06;0.06;-0.004;2.5
IV8B;74.77508604;42.70377054;-0.93;2.33;0.05;0.05;-0.003;2.5
IV09;74.88158699;42.71179123;-1.04;2.62;0.06;0.06;0.016;2.5
OREL;74.68314193;42.72108578;-1.48;2.16;0.1;0.11;-0.006;2.5
IV7A;74.71446985;42.7234461;-1.21;2.09;0.06;0.06;-0.003;2.5
IV08;74.79228134;42.73118246;-1.17;2.5;0.05;0.06;-0.008;2.5
IV26;74.94952921;42.74295225;-0.83;2.34;0.12;0.13;0.006;2.5
IV07;74.70044631;42.7578042;-1.09;2.08;0.05;0.06;-0.006;2.5
